date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:54:06	4952/4952	---MC-	200	added ('OK')	text/html	date:Wed,%2029%20Jan%202025%2003:54:05%20GMT	http://boom-sport.net/user-login	C:/Users/niggallah/Downloads/9999/boom-sport.net/user-login.html	(from )
05:54:07	315/315	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Jan%202025%2003:54:06%20GMT	http://boom-sport.net/robots.txt		(from )
05:54:09	117305/117305	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2014:17:57%20GMT	http://boom-sport.net/assets/bootstrap/css/bootstrap.min.css	C:/Users/niggallah/Downloads/9999/boom-sport.net/assets/bootstrap/css/bootstrap.min.css	(from http://boom-sport.net/user-login)
05:54:09	23739/23739	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2014:17:57%20GMT	http://boom-sport.net/assets/font-awesome/css/font-awesome.min.css	C:/Users/niggallah/Downloads/9999/boom-sport.net/assets/font-awesome/css/font-awesome.min.css	(from http://boom-sport.net/user-login)
05:54:11	2508/2508	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2014:17:57%20GMT	http://boom-sport.net/assets/css/form-elements.css	C:/Users/niggallah/Downloads/9999/boom-sport.net/assets/css/form-elements.css	(from http://boom-sport.net/user-login)
05:54:11	3639/3639	---M--	200	added ('OK')	text/css	date:Thu,%2007%20Jan%202021%2014:17:57%20GMT	http://boom-sport.net/assets/css/style.css	C:/Users/niggallah/Downloads/9999/boom-sport.net/assets/css/style.css	(from http://boom-sport.net/user-login)
05:54:13	62/62	---MC-	302	error ('Found')	text/plain	date:Wed,%2029%20Jan%202025%2003:54:12%20GMT	https://unpkg.com/sweetalert/dist/sweetalert.min.js	C:/Users/niggallah/Downloads/9999/unpkg.com/sweetalert/dist/sweetalert.min.5.delayed	(from http://boom-sport.net/user-login)
05:54:14	232/232	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Jan%202025%2003:54:13%20GMT	http://boom-sport.net/m	C:/Users/niggallah/Downloads/9999/boom-sport.net/m	(from http://boom-sport.net/user-login)
05:54:14	233/233	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2029%20Jan%202025%2003:54:13%20GMT	http://boom-sport.net/m/	C:/Users/niggallah/Downloads/9999/boom-sport.net/m/index.html	(from http://boom-sport.net/user-login)
05:54:15	40808/40808	---MCZ	200	added ('OK')	application/javascript	etag:W/%229f68-Kj2qvHAjLGNQq0jTJgXcSmrB8fo%22	https://unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	C:/Users/niggallah/Downloads/9999/unpkg.com/sweetalert@2.1.2/dist/sweetalert.min.js	(from http://boom-sport.net/user-login)
